smiles,D_smiles,A_smiles,D_HOMO,D_LUMO,A_HOMO,A_LUMO,D_A_H,D_A_L,initial,ground,change,overlap,distance,3d_overlap,3d_distance,3d_HOMO(a.u.),3d_LUMO(a.u.),3d_HOMO,3d_LUMO,HOMO,LUMO,AIE
CC(C)(C)C1=CC2=C(C3=C(C=C(C=C43)C(C)(C)C)C=C2)C(C=C4C5=CC=C(C6=CC=C(C=O)S6)C=C5)=C1,CC(C)(C1=CC2=C3C4=C(C=C2)C=C(C(C)(C)C)C=C4C=CC3=C1)C,O=CC(S1)=CC=C1C2=CC=CC=C2,-5.215336157,-1.397849413,-6.131815975,-2.155414677,0.916479817,0.757565265,451,492,41,0.35539913,8.385482,0.649591613,5.080773,-0.187024,-0.069277,-5.089184874,-1.885124158,-5.304154934,-2.121536801,0
C1=C\C2=C(NC(C3=CC=C(C(=C(C4=CC=CC=C4)C4=CC=CC=C4)C4=CC=CC=C4)C=C3)=N2)\C=C/1,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,C1(C=CC=C2)=C2NC=N1,-5.328263451,-1.217982085,-6.07929798,-0.365993276,0.75103453,-0.851988809,465,492,27,0.814821014,0.050621,0.876013729,0.196679,-0.171509,-0.078807,-4.667000003,-2.1444488,-5.285651182,-1.554505648,1
C1(Cl)=C/C2=C(NC(C3=CC=C(C(=C(C4=CC=CC=C4)C4=CC=CC=C4)C4=CC=CC=C4)C=C3)=N2)/C=C\1Cl,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,ClC1=CC2=C(C=C1Cl)NC=N2,-5.328263451,-1.217982085,-6.421889456,-1.019338894,1.093626005,-0.198643191,467,493,26,0.766228084,1.837687,0.872663954,0.21067,-0.178203,-0.085728,-4.849153114,-2.332778899,-5.470443799,-1.805041008,1
C1(Br)=C/C2=C(NC(C3=CC=C(C(=C(C4=CC=CC=C4)C4=CC=CC=C4)C4=CC=CC=C4)C=C3)=N2)/C=C\1Br,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,BrC1=CC2=C(C=C1Br)NC=N2,-5.328263451,-1.217982085,-6.330459165,-1.012263931,1.002195715,-0.205718154,461,487,26,0.766743136,1.705464,0.871852502,0.218189,-0.178393,-0.085914,-4.85432328,-2.33784022,-5.46268855,-1.800279013,1
C1(C)=C/C2=C(NC(C3=CC=C(C(=C(C4=CC=CC=C4)C4=CC=CC=C4)C4=CC=CC=C4)C=C3)=N2)/C=C\1C,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,CC1=CC2=C(C=C1C)NC=N2,-5.328263451,-1.217982085,-5.801469627,-0.194561481,0.473206176,-1.023420604,461,485,24,0.797183632,1.513913,0.87254312,0.434676,-0.169537,-0.077223,-4.613339122,-2.101345942,-5.18396218,-1.497089594,1
C1(Cl)=CC=C(C2=CC(C3=CC=C(C(=C(C4=CC=CC=C4)C4=CC=CC=C4)C4=CC=CC=C4)C=C3)=[O+][B-](F)(F)O2)C=C1,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,ClC1=CC=C(C=C1)C2=CC=[O+][B-](F)(O2)F,-5.328263451,-1.217982085,-7.179998949,-2.911619372,1.851735498,1.693637287,547,617,70,0.407653619,6.608112,0.67699775,3.903899,-0.192791,-0.112487,-5.246113017,-3.060928752,-5.696161525,-2.759779782,1
C1(Br)=CC=C(C2=CC(C3=CC=C(C(=C(C4=CC=CC=C4)C4=CC=CC=C4)C4=CC=CC=C4)C=C3)=[O+][B-](F)(F)O2)C=C1,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,BrC1=CC=C(C=C1)C2=CC=[O+][B-](F)(O2)F,-5.328263451,-1.217982085,-7.106800293,-2.90944246,1.778536843,1.691460375,539,598,59,0.407555754,6.624435,0.673916759,3.952627,-0.192784,-0.112626,-5.245922538,-3.064711136,-5.693440385,-2.75896344,1
C(=C1C(=O)C2=CC=CC=C2C1=O)C1=CC=C(C(=C(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,O=C(C1=CC=CC=C12)CC2=O,-5.328263451,-1.217982085,-6.728,-2.202212497,1.399736549,0.984230413,510,562,52,0.504085861,5.330103,0.756375663,2.557037,-0.182886,-0.100959,-4.9765841,-2.747235733,-5.489354915,-2.53147617,1
N#C/C(C#N)=C/C1=CN(N=C1C2=CC=C(C=C2)C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,N#C/C(C#N)=C/C1=CN(C2=CC=CC=C2)N=C1,-4.956011553,-0.323543498,-6.620532647,-2.717057891,1.664521093,2.393514392,536,616,80,0.130407243,10.920313,0.252535546,10.258054,-0.183229,-0.09745,-4.985917611,-2.65175093,-5.08771471,-2.562225047,1
N#C/C(C#N)=C/C1=CN(N=C1C2=CC=C(C=C2)/C=C/C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,N#C/C(C#N)=C/C1=CN(C2=CC=CC=C2)N=C1,-4.956011553,-0.323543498,-6.620532647,-2.717057891,1.664521093,2.393514392,543,628,85,0.178626543,11.744855,0.299970074,10.760315,-0.178443,-0.09677,-4.85568385,-2.633247178,-4.985399861,-2.551612603,1
